ticker,year,net_generation_mwh,net_generation_mwh_1point5c,emissions_co2_historical,emissions_co2_irp,emissions_co2_target_all_years,emissions_co2_1point5c
MCPB,2044,92935.04354157223,257057.71849411054,,0.01651921012618607,0.04640488340140753,0.0005434698123448733
MCPB,2045,92935.04354157223,256002.98644400723,,0.0157937784777998,0.04640488340140753,0.00038254945540622
MCPB,2046,92935.04354157223,254738.12605963118,,0.015100203744632881,0.04640488340140753,0.0002658381486815559
MCPB,2047,92935.04354157223,253334.7429474802,,0.014437086948505134,0.04640488340140753,0.00018255674759056796
MCPB,2048,92935.04354157223,251841.7153464151,,0.013803090546561673,0.04640488340140753,0.00012404772238517526
MCPB,2049,92935.04354157223,250292.24110689305,,0.013196935733375763,0.04640488340140753,8.354148633253564e-05
MCPB,2050,92935.04354157223,248708.77930824322,,0.012617399861528314,0.04640488340140753,5.5876539946136506e-05
MDU,2005,2028856.008834627,2028856.008834627,2.346852828307396,,,2.346852828307396
MDU,2006,1963931.7195906707,1963931.7195906707,2.244918376793386,,,2.206065365850892
MDU,2007,2144114.745974007,2144114.745974007,2.4374366988511484,,,2.4442106702832844
MDU,2008,2060729.3375215768,2060729.3375215768,2.2899072584887956,,,2.3431827160883714
MDU,2009,2206774.0277401553,2206774.0277401553,2.3679567029285797,,,2.4036157374047593
MDU,2010,2319750.5276552206,2319750.5276552206,2.404512880898503,,,2.573822813836206
MDU,2011,2618417.3237951356,2618417.3237951356,2.5383992970410207,,,2.8023792825780482
MDU,2012,2628087.369984077,2628087.369984077,2.4533917992532137,,,2.7065567729112985
MDU,2013,2847354.8259114814,2847354.8259114814,2.613950082876712,,,2.961481915369117
MDU,2014,2982306.111443904,2982306.111443904,2.7707816874473314,,,3.097707551838788
MDU,2015,3429788.176546585,3429788.176546585,2.86476442160966,,,3.3386631555651602
MDU,2016,3083814.9085913682,3083814.9085913682,2.439437741913927,,,2.869915716608129
MDU,2017,3234803.0833967254,3234803.0833967254,2.4622666396301325,,,2.9414222395096745
MDU,2018,3245432.508119828,3245432.508119828,2.5705291157166843,,,2.893033745220936
MDU,2019,3115167.901843173,3115167.901843173,2.246144764106693,,,2.5854523774109635
MDU,2020,3202467.761803893,3202467.761803893,2.310650249022034,,,2.464181785744936
MDU,2021,3223516.91067441,3223516.91067441,2.277667182863613,,,2.5696178009940036
MDU,2022,3250416.2159852865,3293691.2325853324,,1.9012765749843723,2.277667182863613,2.2498790016127974
MDU,2023,3280386.0508704497,3325942.5766615346,,1.7715161340389103,2.277667182863613,1.9871948726046829
