year,utility_id_irp,target_type,net_generation_mwh,net_generation_mwh_1point5c,emissions_co2_historical,emissions_co2_irp,emissions_co2_1point5c,emissions_co2_target,emissions_co2_target_all_years,ticker,parent_name,fraction_owned_utility,utility_name_irp
2017,17609,Utility/Parent,77419540.32698299,77419540.32698299,13.03648335534112,,18.75492657095841,0.0,,EIX,Edison International,1.0,Southern California Edison Co.
2018,17609,Utility/Parent,78311915.07796237,78311915.07796237,13.214692688927126,,18.46992458601138,0.0,,EIX,Edison International,1.0,Southern California Edison Co.
2019,17609,Utility/Parent,64461820.43456975,64461820.43456975,9.455228928149682,,14.084172159787695,0.0,,EIX,Edison International,1.0,Southern California Edison Co.
2020,17609,Utility/Parent,62415715.65559087,62415715.65559087,9.53466845461702,,12.686709313247658,0.0,,EIX,Edison International,1.0,Southern California Edison Co.
2021,17609,Utility/Parent,62346225.35599115,62346225.35599115,9.318855646731214,,13.170891704756874,0.0,,EIX,Edison International,1.0,Southern California Edison Co.
2022,17609,Utility/Parent,62695150.91623528,63703470.93878131,,10.006297364898721,11.532031210083382,0.0,8.93056999478408,EIX,Edison International,1.0,Southern California Edison Co.
2023,17609,Utility/Parent,63046029.26585674,64327246.03335273,,9.796224749044978,10.185611437311756,0.0,8.542284342836945,EIX,Edison International,1.0,Southern California Edison Co.
2024,17609,Utility/Parent,63398871.33379506,65315547.47819192,,9.504645401055853,9.046198917426826,0.0,8.15399869088981,EIX,Edison International,1.0,Southern California Edison Co.
2025,17609,Utility/Parent,63753688.11015448,66872834.253878,,9.008292960917712,8.055919933058846,0.0,7.765713038942677,EIX,Edison International,1.0,Southern California Edison Co.
2026,17609,Utility/Parent,64110490.64654616,69222023.65343891,,8.692403008510228,7.174137626738385,0.0,7.377427386995543,EIX,Edison International,1.0,Southern California Edison Co.
2027,17609,Utility/Parent,64469290.05643253,72636985.3392315,,8.52518370202675,6.373089034171866,0.0,6.98914173504841,EIX,Edison International,1.0,Southern California Edison Co.
2028,17609,Utility/Parent,64830097.51547337,77425234.16534524,,8.361196257938797,5.634178287523675,0.0,6.600856083101276,EIX,Edison International,1.0,Southern California Edison Co.
2029,17609,Utility/Parent,65192924.261873886,83875905.86003795,,8.201290965812198,4.945963008355982,0.0,6.212570431154142,EIX,Edison International,1.0,Southern California Edison Co.
2030,17609,Utility/Parent,65557781.59673486,92163140.42946988,,7.2105457696890465,4.302793372179141,0.0,5.824284779207008,EIX,Edison International,1.0,Southern California Edison Co.
2031,17609,Utility/Parent,65924680.88440448,102216753.14192149,,6.967916072427904,3.703413573737329,0.0,5.435999127259874,EIX,Edison International,1.0,Southern California Edison Co.
2032,17609,Utility/Parent,66293633.55283248,113614503.77566816,,6.728933731971374,3.149375355408744,0.0,5.047713475312741,EIX,Edison International,1.0,Southern California Edison Co.
2033,17609,Utility/Parent,66664651.09392598,125583306.33189762,,6.537905133602537,2.6434585493801697,0.0,4.659427823365607,EIX,Edison International,1.0,Southern California Edison Co.
2034,17609,Utility/Parent,67037745.063907474,137163412.95514205,,6.330992791099694,2.1883540080063733,0.0,4.2711421714184725,EIX,Edison International,1.0,Southern California Edison Co.
2035,17609,Utility/Parent,67412927.08367476,147479185.9390038,,5.9621556186834335,1.7857568654417963,0.0,3.882856519471339,EIX,Edison International,1.0,Southern California Edison Co.
2036,17609,Utility/Parent,67790208.8391629,155968508.61013073,,5.87317110102348,1.4358861365549487,0.0,3.494570867524205,EIX,Edison International,1.0,Southern California Edison Co.
2037,17609,Utility/Parent,68169602.08170825,162455581.30616945,,5.789030838368824,1.1373624089314363,0.0,3.106285215577071,EIX,Edison International,1.0,Southern California Edison Co.
2038,17609,Utility/Parent,68551118.62841438,167073008.0423482,,5.705279257668339,0.8873438982082789,0.0,2.7179995636299377,EIX,Edison International,1.0,Southern California Edison Co.
2039,17609,Utility/Parent,68934770.36252025,170121244.97041556,,5.623354954880542,0.6818222663187531,0.0,2.3297139116828034,EIX,Edison International,1.0,Southern California Edison Co.
2040,17609,Utility/Parent,69320569.23377031,171945748.63996643,,5.542698241860069,0.5159940628295061,0.0,1.9414282597356696,EIX,Edison International,1.0,Southern California Edison Co.
2041,17609,Utility/Parent,69708527.25878666,172863173.55524564,,5.464850860456615,0.38464258504413906,0.0,1.553142607788536,EIX,Edison International,1.0,Southern California Edison Co.
2042,17609,Utility/Parent,70098656.52144343,173131357.29069367,,5.3882034586572445,0.2824838031274021,0.0,1.1648569558414017,EIX,Edison International,1.0,Southern California Edison Co.
2043,17609,Utility/Parent,70490969.17324308,172945987.0044897,,5.313248126533649,0.20444801494133022,0.0,0.776571303894269,EIX,Edison International,1.0,Southern California Edison Co.
2044,17609,Utility/Parent,70885477.43369481,172449248.80851483,,5.240256077397708,0.14588442578498104,0.0,0.3882856519471337,EIX,Edison International,1.0,Southern California Edison Co.
2045,17609,Utility/Parent,71282193.59069547,171741673.28500938,,5.168283197913018,0.10268833037018649,0.0,0.0,EIX,Edison International,1.0,Southern California Edison Co.
2046,17609,Utility/Parent,71681130.00091192,170893131.46953267,,5.098209465783776,0.07135933733802542,0.0,0.0,EIX,Edison International,1.0,Southern California Edison Co.
2047,17609,Utility/Parent,72082299.09016612,169951660.5621476,,5.029699538435187,0.04900398456450707,0.0,0.0,EIX,Edison International,1.0,Southern California Edison Co.
2048,17609,Utility/Parent,72485713.35382216,168950050.92458302,,4.963751549491356,0.03329831821203775,0.0,0.0,EIX,Edison International,1.0,Southern California Edison Co.
2049,17609,Utility/Parent,72891385.35717542,167910573.6032287,,4.897247733492014,0.022425167849271385,0.0,0.0,EIX,Edison International,1.0,Southern California Edison Co.
2050,17609,Utility/Parent,73299327.73584388,166848295.45303807,,4.833245298214871,0.014999024342718995,0.0,0.0,EIX,Edison International,1.0,Southern California Edison Co.
2005,18454,Utility/Parent,18648114.398066107,18648114.398066107,12.784678381321019,,12.784678381321019,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2006,18454,Utility/Parent,18532895.96260348,18532895.96260348,12.988913146814518,,12.330523302232002,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2007,18454,Utility/Parent,18910992.24253572,18910992.24253572,12.704108604526763,,12.6405512962467,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2008,18454,Utility/Parent,19868853.744649176,19868853.744649176,13.888569144862844,,13.08559079091891,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2009,18454,Utility/Parent,19744360.037284844,19744360.037284844,13.483196597015253,,12.375444650257771,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2010,18454,Utility/Parent,20489588.088169076,20489588.088169076,13.916097198920367,,13.011557980266135,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2011,18454,Utility/Parent,19057309.75974873,19057309.75974873,13.635116197623494,,11.61629054741869,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2012,18454,Utility/Parent,19305293.0068709,19305293.0068709,13.777832492614618,,11.138863931154614,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2013,18454,Utility/Parent,19133138.55647213,19133138.55647213,13.791494240975611,,11.126892773524231,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2014,18454,Utility/Parent,19306868.11392597,19306868.11392597,14.084258379307668,,11.15199578620757,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2015,18454,Utility/Parent,18927592.485390507,18927592.485390507,12.299468607746359,,10.244017571824875,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2016,18454,Utility/Parent,19984670.95753173,19984670.95753173,12.904574249471594,,10.306004589187939,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2017,18454,Utility/Parent,14745088.297364254,14745088.297364254,9.10285147558375,,7.39146999742034,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2018,18454,Utility/Parent,20678824.393495727,20678824.393495727,10.342735087233294,,10.092105547344174,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2019,18454,Utility/Parent,20761396.96743988,20761396.96743988,9.208583412563106,,9.38650665869849,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2020,18454,Utility/Parent,21080334.820175413,21080334.820175413,8.705276067589905,,8.866479213720483,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
